,Partition,Accuracy,Recall,F1
0,designed,0.5945860104490028,0.7279204839405043,0.6916589426631263
1,rand,0.8736502335406067,0.031206219461381607,0.045605221282763425
2,single,0.5621058558558558,0.6402552936452297,0.6275599938332342
3,stop,1.0,0.0,0.0
4,previous_chip_nonviable,0.7545757575757575,0.10868760324642676,0.11651808001653204
5,random_doubles,0.8009158801976396,0.061451051029186354,0.08982895752598974
6,previous_chip_viable,0.9597878787878787,0.9815248250123927,0.9793858361241057
7,singles,0.7678933167289331,0.7764519882429981,0.7633663624361204
